Ngay,GiaDongCua
29/12/2023,20.2
28/12/2023,20.2
27/12/2023,19.9
26/12/2023,19.95
25/12/2023,20.0
22/12/2023,19.5
21/12/2023,19.4
20/12/2023,19.3
19/12/2023,19.1
18/12/2023,19.0
15/12/2023,19.35
14/12/2023,19.7
13/12/2023,19.9
12/12/2023,20.1
11/12/2023,20.0
08/12/2023,20.05
07/12/2023,20.0
06/12/2023,20.35
05/12/2023,19.45
04/12/2023,19.55
01/12/2023,19.0
30/11/2023,19.0
29/11/2023,19.0
28/11/2023,18.85
27/11/2023,18.85
24/11/2023,19.25
23/11/2023,19.25
22/11/2023,19.35
21/11/2023,19.2
20/11/2023,18.85
17/11/2023,19.1
16/11/2023,19.5
15/11/2023,19.6
14/11/2023,19.4
13/11/2023,19.25
10/11/2023,19.05
09/11/2023,19.15
08/11/2023,18.85
07/11/2023,18.1
06/11/2023,18.5
03/11/2023,18.2
02/11/2023,18.3
01/11/2023,17.7
31/10/2023,17.5
30/10/2023,17.85
27/10/2023,17.95
26/10/2023,17.85
25/10/2023,19.15
24/10/2023,19.15
23/10/2023,18.95
20/10/2023,19.3
19/10/2023,18.8
18/10/2023,19.05
17/10/2023,20.0
16/10/2023,20.35
13/10/2023,20.15
12/10/2023,20.25
11/10/2023,20.2
10/10/2023,20.05
09/10/2023,19.65
06/10/2023,19.65
05/10/2023,19.05
04/10/2023,19.45
03/10/2023,19.2
02/10/2023,20.5
29/09/2023,20.35
28/09/2023,20.1
27/09/2023,20.75
26/09/2023,20.9
25/09/2023,22.0
22/09/2023,22.2
21/09/2023,22.6
20/09/2023,22.05
19/09/2023,21.2
18/09/2023,21.35
15/09/2023,21.85
14/09/2023,22.0
13/09/2023,22.35
12/09/2023,22.45
11/09/2023,22.1
08/09/2023,22.8
07/09/2023,22.5
06/09/2023,21.8
05/09/2023,22.05
31/08/2023,21.95
30/08/2023,21.7
29/08/2023,21.3
28/08/2023,21.25
25/08/2023,21.15
24/08/2023,21.05
23/08/2023,20.6
22/08/2023,20.9
21/08/2023,21.3
18/08/2023,21.15
17/08/2023,22.7
16/08/2023,23.25
15/08/2023,23.2
14/08/2023,22.95
11/08/2023,22.95
10/08/2023,23.1
09/08/2023,23.45
08/08/2023,23.6
07/08/2023,23.5
04/08/2023,23.25
03/08/2023,23.2
02/08/2023,23.4
01/08/2023,22.85
31/07/2023,23.2
28/07/2023,22.45
27/07/2023,22.15
26/07/2023,22.65
25/07/2023,23.0
24/07/2023,22.9
21/07/2023,21.5
20/07/2023,21.2
19/07/2023,21.35
18/07/2023,21.1
17/07/2023,21.2
14/07/2023,21.0
13/07/2023,20.8
12/07/2023,20.75
11/07/2023,20.8
10/07/2023,20.35
07/07/2023,20.4
06/07/2023,20.0
05/07/2023,20.5
04/07/2023,20.6
03/07/2023,20.25
30/06/2023,19.7
29/06/2023,20.05
28/06/2023,19.75
27/06/2023,19.85
26/06/2023,19.95
23/06/2023,20.1
22/06/2023,19.55
21/06/2023,19.1
20/06/2023,18.65
19/06/2023,18.5
16/06/2023,18.7
15/06/2023,18.9
14/06/2023,18.6
13/06/2023,18.4
12/06/2023,18.4
09/06/2023,18.45
08/06/2023,18.35
07/06/2023,18.9
06/06/2023,19.05
05/06/2023,18.65
02/06/2023,18.4
01/06/2023,18.35
31/05/2023,18.4
30/05/2023,18.25
29/05/2023,18.15
26/05/2023,17.9
25/05/2023,18.1
24/05/2023,17.7
23/05/2023,17.85
22/05/2023,17.8
19/05/2023,17.7
18/05/2023,17.6
17/05/2023,17.8
16/05/2023,18.3
15/05/2023,18.0
12/05/2023,18.2
11/05/2023,18.3
10/05/2023,18.35
09/05/2023,18.5
08/05/2023,18.5
05/05/2023,18.2
04/05/2023,18.15
28/04/2023,18.6
27/04/2023,18.55
26/04/2023,18.2
25/04/2023,17.65
24/04/2023,18.0
21/04/2023,18.1
20/04/2023,18.4
19/04/2023,18.25
18/04/2023,18.15
17/04/2023,18.25
14/04/2023,18.15
13/04/2023,17.75
12/04/2023,17.8
11/04/2023,18.05
10/04/2023,17.8
07/04/2023,17.5
06/04/2023,17.35
05/04/2023,17.4
04/04/2023,17.35
03/04/2023,17.35
31/03/2023,16.7
30/03/2023,16.75
29/03/2023,16.45
28/03/2023,16.65
27/03/2023,16.6
24/03/2023,16.35
23/03/2023,16.3
22/03/2023,16.0
21/03/2023,15.9
20/03/2023,15.85
17/03/2023,16.3
16/03/2023,16.15
15/03/2023,16.5
14/03/2023,15.9
13/03/2023,16.6
10/03/2023,16.8
09/03/2023,16.7
08/03/2023,16.2
07/03/2023,16.05
06/03/2023,16.05
03/03/2023,16.05
02/03/2023,16.25
01/03/2023,15.9
28/02/2023,15.6
27/02/2023,15.6
24/02/2023,16.1
23/02/2023,16.25
22/02/2023,16.1
21/02/2023,16.25
20/02/2023,16.5
17/02/2023,15.85
