Ngay,GiaDongCua
29/12/2023,51.5
28/12/2023,52.0
27/12/2023,51.1
26/12/2023,50.9
25/12/2023,50.9
22/12/2023,50.0
21/12/2023,51.0
20/12/2023,51.0
19/12/2023,50.0
18/12/2023,51.0
15/12/2023,51.0
14/12/2023,50.5
13/12/2023,50.9
12/12/2023,50.0
11/12/2023,50.0
08/12/2023,49.65
07/12/2023,50.6
06/12/2023,50.8
05/12/2023,49.3
04/12/2023,49.25
01/12/2023,49.4
30/11/2023,49.4
29/11/2023,49.15
28/11/2023,49.7
27/11/2023,49.5
24/11/2023,49.5
23/11/2023,50.0
22/11/2023,50.0
21/11/2023,50.0
20/11/2023,49.0
17/11/2023,49.0
16/11/2023,49.0
15/11/2023,50.5
14/11/2023,48.1
13/11/2023,48.25
10/11/2023,48.25
09/11/2023,48.25
08/11/2023,47.0
07/11/2023,47.0
06/11/2023,47.0
03/11/2023,46.5
02/11/2023,46.5
01/11/2023,46.05
31/10/2023,47.0
30/10/2023,47.0
27/10/2023,48.5
26/10/2023,48.5
25/10/2023,48.5
24/10/2023,47.5
23/10/2023,47.7
20/10/2023,47.75
19/10/2023,48.0
18/10/2023,47.6
17/10/2023,47.65
16/10/2023,48.0
13/10/2023,47.5
12/10/2023,47.5
11/10/2023,48.6
10/10/2023,49.5
09/10/2023,49.5
06/10/2023,49.0
05/10/2023,49.0
04/10/2023,49.0
03/10/2023,49.0
02/10/2023,49.5
29/09/2023,49.5
28/09/2023,49.5
27/09/2023,48.55
26/09/2023,48.55
25/09/2023,48.1
22/09/2023,48.0
21/09/2023,48.15
20/09/2023,48.0
19/09/2023,49.0
18/09/2023,49.0
15/09/2023,49.6
14/09/2023,48.3
13/09/2023,48.25
12/09/2023,48.2
11/09/2023,48.1
08/09/2023,48.0
07/09/2023,48.0
06/09/2023,48.0
05/09/2023,48.1
31/08/2023,48.0
30/08/2023,48.05
29/08/2023,48.0
28/08/2023,47.55
25/08/2023,47.5
24/08/2023,47.5
23/08/2023,46.9
22/08/2023,46.75
21/08/2023,46.3
18/08/2023,46.0
17/08/2023,47.7
16/08/2023,47.5
15/08/2023,48.05
14/08/2023,47.5
11/08/2023,47.0
10/08/2023,47.1
09/08/2023,47.35
08/08/2023,47.0
07/08/2023,47.0
04/08/2023,47.0
03/08/2023,47.0
02/08/2023,46.85
01/08/2023,46.5
31/07/2023,47.0
28/07/2023,47.0
27/07/2023,46.75
26/07/2023,46.4
25/07/2023,46.3
24/07/2023,46.3
21/07/2023,46.1
20/07/2023,46.8
19/07/2023,46.05
18/07/2023,46.05
17/07/2023,46.0
14/07/2023,46.0
13/07/2023,45.9
12/07/2023,45.8
11/07/2023,45.75
10/07/2023,46.05
07/07/2023,46.65
06/07/2023,46.8
05/07/2023,46.8
04/07/2023,47.2
03/07/2023,46.05
30/06/2023,45.0
29/06/2023,46.0
28/06/2023,46.15
27/06/2023,45.7
