Ngay,Symbol,GiaDongCua
29/12/2023,TCD,7.12
28/12/2023,TCD,7.05
27/12/2023,TCD,7.04
26/12/2023,TCD,7.15
25/12/2023,TCD,7.17
22/12/2023,TCD,7.01
21/12/2023,TCD,7.04
20/12/2023,TCD,7.08
19/12/2023,TCD,7.07
18/12/2023,TCD,7.01
15/12/2023,TCD,7.14
14/12/2023,TCD,7.13
13/12/2023,TCD,7.12
12/12/2023,TCD,7.31
11/12/2023,TCD,7.3
08/12/2023,TCD,7.35
07/12/2023,TCD,7.57
06/12/2023,TCD,7.57
05/12/2023,TCD,7.3
04/12/2023,TCD,7.29
01/12/2023,TCD,6.88
30/11/2023,TCD,6.9
29/11/2023,TCD,6.9
28/11/2023,TCD,6.88
27/11/2023,TCD,6.86
24/11/2023,TCD,7.1
23/11/2023,TCD,7.15
22/11/2023,TCD,7.21
21/11/2023,TCD,7.1
20/11/2023,TCD,7.07
17/11/2023,TCD,7.05
16/11/2023,TCD,7.09
15/11/2023,TCD,7.0
14/11/2023,TCD,6.91
13/11/2023,TCD,6.97
10/11/2023,TCD,7.16
09/11/2023,TCD,7.35
08/11/2023,TCD,7.16
07/11/2023,TCD,6.8
06/11/2023,TCD,6.63
03/11/2023,TCD,6.72
02/11/2023,TCD,6.71
01/11/2023,TCD,6.28
31/10/2023,TCD,6.28
30/10/2023,TCD,6.75
27/10/2023,TCD,7.1
26/10/2023,TCD,6.98
25/10/2023,TCD,7.5
24/10/2023,TCD,7.43
23/10/2023,TCD,7.36
20/10/2023,TCD,7.5
19/10/2023,TCD,7.12
18/10/2023,TCD,7.2
17/10/2023,TCD,7.7
16/10/2023,TCD,7.82
13/10/2023,TCD,7.89
12/10/2023,TCD,7.89
11/10/2023,TCD,7.94
10/10/2023,TCD,8.1
09/10/2023,TCD,7.6
06/10/2023,TCD,7.55
05/10/2023,TCD,7.54
04/10/2023,TCD,7.86
03/10/2023,TCD,7.7
02/10/2023,TCD,8.06
29/09/2023,TCD,8.0
28/09/2023,TCD,8.01
27/09/2023,TCD,8.3
26/09/2023,TCD,7.79
25/09/2023,TCD,7.89
22/09/2023,TCD,8.4
21/09/2023,TCD,8.89
20/09/2023,TCD,8.82
19/09/2023,TCD,8.67
18/09/2023,TCD,8.76
15/09/2023,TCD,8.89
14/09/2023,TCD,9.01
13/09/2023,TCD,9.15
12/09/2023,TCD,9.3
11/09/2023,TCD,9.0
08/09/2023,TCD,9.33
07/09/2023,TCD,9.41
06/09/2023,TCD,9.3
05/09/2023,TCD,9.23
31/08/2023,TCD,9.22
30/08/2023,TCD,9.13
29/08/2023,TCD,9.17
28/08/2023,TCD,9.29
25/08/2023,TCD,8.88
24/08/2023,TCD,9.08
23/08/2023,TCD,8.84
22/08/2023,TCD,8.85
21/08/2023,TCD,8.43
18/08/2023,TCD,9.03
17/08/2023,TCD,9.7
16/08/2023,TCD,9.79
15/08/2023,TCD,9.73
14/08/2023,TCD,9.87
11/08/2023,TCD,9.57
10/08/2023,TCD,9.82
09/08/2023,TCD,10.1
08/08/2023,TCD,9.77
07/08/2023,TCD,9.7
04/08/2023,TCD,9.71
03/08/2023,TCD,9.44
02/08/2023,TCD,9.5
01/08/2023,TCD,9.1
31/07/2023,TCD,9.67
28/07/2023,TCD,9.65
27/07/2023,TCD,9.77
26/07/2023,TCD,9.5
25/07/2023,TCD,9.43
24/07/2023,TCD,9.66
21/07/2023,TCD,9.22
20/07/2023,TCD,9.23
19/07/2023,TCD,9.1
18/07/2023,TCD,9.31
17/07/2023,TCD,9.49
14/07/2023,TCD,9.19
13/07/2023,TCD,9.16
12/07/2023,TCD,9.13
