Ngay,GiaDongCua
29/12/2023,63.0
28/12/2023,62.2
27/12/2023,62.1
26/12/2023,62.7
25/12/2023,62.0
22/12/2023,61.5
21/12/2023,62.0
20/12/2023,62.0
19/12/2023,62.2
18/12/2023,61.5
15/12/2023,62.8
14/12/2023,63.0
13/12/2023,64.0
12/12/2023,65.0
11/12/2023,65.5
08/12/2023,65.6
07/12/2023,65.6
06/12/2023,65.2
05/12/2023,64.0
04/12/2023,64.7
01/12/2023,65.0
30/11/2023,65.0
29/11/2023,66.2
28/11/2023,64.9
27/11/2023,64.3
24/11/2023,63.0
23/11/2023,60.4
22/11/2023,63.5
21/11/2023,63.1
20/11/2023,63.0
17/11/2023,63.7
16/11/2023,64.2
15/11/2023,63.2
14/11/2023,62.0
13/11/2023,61.3
10/11/2023,62.4
09/11/2023,63.9
08/11/2023,65.1
07/11/2023,65.1
06/11/2023,66.2
03/11/2023,63.9
02/11/2023,61.4
01/11/2023,57.4
31/10/2023,56.7
30/10/2023,60.8
27/10/2023,63.1
26/10/2023,66.2
25/10/2023,69.2
24/10/2023,69.1
23/10/2023,67.8
20/10/2023,70.0
19/10/2023,68.3
18/10/2023,68.3
17/10/2023,69.9
16/10/2023,70.9
13/10/2023,70.1
12/10/2023,68.9
11/10/2023,68.0
10/10/2023,68.8
09/10/2023,68.8
06/10/2023,69.6
05/10/2023,69.5
04/10/2023,70.0
03/10/2023,70.3
02/10/2023,73.0
29/09/2023,72.5
28/09/2023,72.4
27/09/2023,74.1
26/09/2023,75.3
25/09/2023,76.0
22/09/2023,78.6
21/09/2023,80.0
20/09/2023,80.5
19/09/2023,79.0
18/09/2023,80.8
15/09/2023,83.1
14/09/2023,85.2
13/09/2023,166.8
12/09/2023,168.9
11/09/2023,167.5
08/09/2023,160.6
07/09/2023,160.5
06/09/2023,159.0
05/09/2023,158.8
31/08/2023,158.0
30/08/2023,159.8
29/08/2023,158.1
28/08/2023,156.3
25/08/2023,156.2
24/08/2023,153.5
23/08/2023,150.1
22/08/2023,150.0
21/08/2023,152.7
18/08/2023,153.6
17/08/2023,155.7
16/08/2023,157.3
15/08/2023,157.3
14/08/2023,158.0
11/08/2023,159.5
10/08/2023,160.6
09/08/2023,161.0
08/08/2023,161.6
07/08/2023,161.0
04/08/2023,160.5
03/08/2023,161.5
02/08/2023,158.9
01/08/2023,158.4
31/07/2023,156.8
28/07/2023,157.0
27/07/2023,160.2
26/07/2023,161.6
25/07/2023,158.0
24/07/2023,155.0
21/07/2023,153.1
20/07/2023,153.2
19/07/2023,152.8
18/07/2023,153.1
17/07/2023,153.5
14/07/2023,153.8
13/07/2023,153.5
12/07/2023,151.0
11/07/2023,150.0
10/07/2023,150.3
07/07/2023,151.0
06/07/2023,153.4
05/07/2023,153.8
04/07/2023,153.6
03/07/2023,153.7
30/06/2023,153.6
29/06/2023,154.0
28/06/2023,154.7
27/06/2023,154.4
26/06/2023,156.0
23/06/2023,156.5
22/06/2023,154.8
21/06/2023,155.0
20/06/2023,155.3
19/06/2023,156.8
16/06/2023,155.0
15/06/2023,159.0
14/06/2023,162.0
13/06/2023,161.8
12/06/2023,162.0
09/06/2023,158.0
08/06/2023,159.8
07/06/2023,159.8
06/06/2023,160.0
05/06/2023,159.4
02/06/2023,158.0
01/06/2023,158.2
