Ngay,GiaDongCua
29/12/2023,23.9
28/12/2023,24.0
27/12/2023,24.2
26/12/2023,24.2
25/12/2023,24.2
22/12/2023,24.3
21/12/2023,23.75
20/12/2023,24.1
19/12/2023,24.0
18/12/2023,23.65
15/12/2023,24.2
14/12/2023,24.5
13/12/2023,24.55
12/12/2023,25.5
11/12/2023,25.3
08/12/2023,25.4
07/12/2023,25.5
06/12/2023,25.8
05/12/2023,26.1
04/12/2023,26.65
01/12/2023,24.95
30/11/2023,24.95
29/11/2023,24.7
28/11/2023,24.65
27/11/2023,24.6
24/11/2023,24.8
23/11/2023,23.75
22/11/2023,25.5
21/11/2023,25.4
20/11/2023,25.4
17/11/2023,23.8
16/11/2023,23.35
15/11/2023,23.1
14/11/2023,23.2
13/11/2023,23.4
10/11/2023,23.5
09/11/2023,24.0
08/11/2023,25.0
07/11/2023,23.95
06/11/2023,23.8
03/11/2023,23.8
02/11/2023,24.3
01/11/2023,22.85
31/10/2023,22.3
30/10/2023,22.8
27/10/2023,23.15
26/10/2023,22.6
25/10/2023,24.2
24/10/2023,24.7
23/10/2023,23.8
20/10/2023,24.0
19/10/2023,23.8
18/10/2023,23.3
17/10/2023,23.65
16/10/2023,25.3
13/10/2023,26.0
12/10/2023,25.8
11/10/2023,25.3
10/10/2023,24.9
09/10/2023,25.5
06/10/2023,25.0
05/10/2023,24.8
04/10/2023,23.2
03/10/2023,23.1
02/10/2023,24.0
29/09/2023,23.25
28/09/2023,23.3
27/09/2023,23.1
26/09/2023,22.85
25/09/2023,22.5
22/09/2023,24.0
21/09/2023,24.7
20/09/2023,25.0
19/09/2023,24.0
18/09/2023,23.4
15/09/2023,23.05
14/09/2023,23.4
13/09/2023,23.45
12/09/2023,22.8
11/09/2023,22.35
08/09/2023,23.25
07/09/2023,22.4
06/09/2023,22.6
05/09/2023,21.75
31/08/2023,21.7
30/08/2023,21.8
29/08/2023,21.8
28/08/2023,21.5
25/08/2023,21.3
24/08/2023,21.2
23/08/2023,20.7
22/08/2023,20.6
21/08/2023,20.5
18/08/2023,20.6
17/08/2023,22.1
16/08/2023,22.5
15/08/2023,22.75
14/08/2023,22.2
11/08/2023,22.15
10/08/2023,22.55
09/08/2023,22.7
08/08/2023,22.7
07/08/2023,22.8
04/08/2023,22.7
03/08/2023,22.45
02/08/2023,22.6
01/08/2023,22.7
31/07/2023,22.8
28/07/2023,23.0
27/07/2023,22.55
26/07/2023,22.65
25/07/2023,22.8
24/07/2023,23.65
21/07/2023,23.55
20/07/2023,22.75
19/07/2023,23.0
18/07/2023,22.6
17/07/2023,23.0
14/07/2023,23.0
13/07/2023,22.65
12/07/2023,22.4
11/07/2023,22.55
10/07/2023,22.9
07/07/2023,22.6
06/07/2023,21.5
05/07/2023,21.5
04/07/2023,21.4
03/07/2023,21.05
30/06/2023,21.5
29/06/2023,21.4
28/06/2023,22.05
27/06/2023,21.9
26/06/2023,21.65
23/06/2023,21.65
22/06/2023,21.9
21/06/2023,21.7
20/06/2023,21.25
19/06/2023,21.05
16/06/2023,21.85
15/06/2023,22.1
14/06/2023,22.2
13/06/2023,22.95
12/06/2023,22.9
09/06/2023,22.35
08/06/2023,22.75
07/06/2023,21.3
06/06/2023,21.2
05/06/2023,21.0
02/06/2023,21.5
01/06/2023,21.55
31/05/2023,21.3
30/05/2023,20.8
29/05/2023,21.05
26/05/2023,20.55
25/05/2023,20.7
24/05/2023,20.3
23/05/2023,19.9
22/05/2023,20.1
19/05/2023,20.1
18/05/2023,19.8
17/05/2023,19.6
16/05/2023,20.0
15/05/2023,21.0
12/05/2023,21.55
11/05/2023,21.25
10/05/2023,21.1
09/05/2023,21.4
08/05/2023,21.4
05/05/2023,21.6
04/05/2023,21.25
28/04/2023,20.75
27/04/2023,21.0
26/04/2023,21.1
25/04/2023,20.7
24/04/2023,21.3
21/04/2023,20.8
20/04/2023,20.15
19/04/2023,20.6
18/04/2023,20.75
17/04/2023,19.4
14/04/2023,19.3
13/04/2023,19.7
12/04/2023,20.1
11/04/2023,20.0
10/04/2023,18.7
07/04/2023,17.5
06/04/2023,17.65
05/04/2023,17.8
04/04/2023,17.9
03/04/2023,17.75
31/03/2023,17.4
30/03/2023,17.1
29/03/2023,17.1
28/03/2023,17.05
27/03/2023,17.1
24/03/2023,17.0
23/03/2023,16.6
22/03/2023,16.25
21/03/2023,16.25
20/03/2023,16.2
17/03/2023,16.3
16/03/2023,16.4
15/03/2023,16.6
14/03/2023,16.2
13/03/2023,16.45
10/03/2023,16.5
09/03/2023,16.7
08/03/2023,16.55
07/03/2023,16.55
06/03/2023,16.55
03/03/2023,16.6
02/03/2023,16.75
01/03/2023,16.8
28/02/2023,16.75
27/02/2023,16.65
24/02/2023,16.4
23/02/2023,16.85
22/02/2023,16.85
21/02/2023,17.2
20/02/2023,17.45
17/02/2023,17.3
16/02/2023,17.05
15/02/2023,16.8
14/02/2023,16.5
13/02/2023,16.2
10/02/2023,16.8
09/02/2023,17.1
08/02/2023,17.1
07/02/2023,17.0
06/02/2023,17.45
03/02/2023,17.65
02/02/2023,17.4
01/02/2023,18.0
31/01/2023,18.0
30/01/2023,17.8
27/01/2023,18.0
19/01/2023,18.1
18/01/2023,18.1
17/01/2023,17.75
16/01/2023,16.95
13/01/2023,17.0
12/01/2023,17.0
11/01/2023,16.9
10/01/2023,16.75
09/01/2023,16.95
06/01/2023,17.0
05/01/2023,17.3
04/01/2023,17.75
03/01/2023,17.6
30/12/2022,17.45
29/12/2022,16.75
28/12/2022,17.55
27/12/2022,17.35
26/12/2022,16.9
23/12/2022,17.55
22/12/2022,17.5
21/12/2022,17.4
20/12/2022,17.4
19/12/2022,17.5
16/12/2022,18.8
15/12/2022,19.1
14/12/2022,17.9
13/12/2022,16.75
12/12/2022,16.55
09/12/2022,16.55
08/12/2022,16.05
07/12/2022,16.1
06/12/2022,16.75
05/12/2022,18.0
02/12/2022,17.5
01/12/2022,17.5
30/11/2022,17.5
29/11/2022,16.7
28/11/2022,16.3
25/11/2022,15.75
24/11/2022,15.25
23/11/2022,15.8
22/11/2022,15.75
21/11/2022,16.45
18/11/2022,15.45
17/11/2022,14.45
16/11/2022,13.55
15/11/2022,12.7
14/11/2022,13.35
11/11/2022,13.9
10/11/2022,14.9
09/11/2022,16.0
08/11/2022,15.95
07/11/2022,15.9
04/11/2022,16.5
03/11/2022,16.8
02/11/2022,17.0
01/11/2022,17.2
31/10/2022,17.0
28/10/2022,17.2
27/10/2022,17.25
26/10/2022,16.5
25/10/2022,16.5
24/10/2022,17.55
21/10/2022,18.85
20/10/2022,19.6
19/10/2022,19.0
18/10/2022,19.55
17/10/2022,19.2
14/10/2022,19.5
13/10/2022,19.2
12/10/2022,19.0
11/10/2022,18.55
10/10/2022,19.9
07/10/2022,19.45
06/10/2022,20.8
05/10/2022,21.6
04/10/2022,20.6
03/10/2022,21.55
30/09/2022,23.05
29/09/2022,23.5
28/09/2022,23.85
27/09/2022,24.1
26/09/2022,24.6
23/09/2022,24.85
22/09/2022,25.2
21/09/2022,24.7
20/09/2022,24.5
19/09/2022,24.35
16/09/2022,25.05
15/09/2022,25.7
14/09/2022,25.45
13/09/2022,25.4
12/09/2022,25.1
09/09/2022,25.35
08/09/2022,25.65
07/09/2022,26.3
06/09/2022,26.7
05/09/2022,26.9
31/08/2022,27.0
30/08/2022,27.0
29/08/2022,27.3
26/08/2022,27.7
25/08/2022,28.4
24/08/2022,28.0
23/08/2022,27.75
22/08/2022,27.2
19/08/2022,26.95
18/08/2022,27.6
17/08/2022,28.65
16/08/2022,29.0
15/08/2022,29.45
12/08/2022,29.6
11/08/2022,28.7
10/08/2022,29.6
09/08/2022,27.9
08/08/2022,27.3
05/08/2022,27.7
04/08/2022,27.75
03/08/2022,28.0
02/08/2022,27.5
01/08/2022,27.4
29/07/2022,27.35
28/07/2022,27.5
27/07/2022,27.0
26/07/2022,27.4
25/07/2022,27.0
22/07/2022,26.2
21/07/2022,25.55
20/07/2022,25.95
19/07/2022,24.95
18/07/2022,25.3
15/07/2022,25.4
14/07/2022,25.0
13/07/2022,25.15
12/07/2022,25.1
11/07/2022,23.5
08/07/2022,23.85
07/07/2022,23.45
06/07/2022,23.1
05/07/2022,23.5
04/07/2022,24.3
01/07/2022,24.95
30/06/2022,23.85
29/06/2022,24.85
28/06/2022,25.05
27/06/2022,25.05
24/06/2022,24.3
23/06/2022,23.5
22/06/2022,23.15
21/06/2022,22.2
20/06/2022,23.65
17/06/2022,25.0
16/06/2022,25.5
15/06/2022,25.0
14/06/2022,25.6
13/06/2022,25.6
10/06/2022,27.5
09/06/2022,28.3
08/06/2022,27.65
07/06/2022,25.85
06/06/2022,26.7
03/06/2022,28.0
02/06/2022,28.5
01/06/2022,28.2
31/05/2022,28.0
30/05/2022,29.0
27/05/2022,29.4
26/05/2022,28.85
25/05/2022,27.0
24/05/2022,26.15
23/05/2022,26.1
20/05/2022,26.35
19/05/2022,26.8
