Ngay,GiaDongCua
29/12/2023,26.75
28/12/2023,26.7
27/12/2023,26.55
26/12/2023,26.75
25/12/2023,26.6
22/12/2023,25.8
21/12/2023,26.15
20/12/2023,25.8
19/12/2023,25.85
18/12/2023,25.45
15/12/2023,25.2
14/12/2023,25.1
13/12/2023,25.8
12/12/2023,26.35
11/12/2023,26.35
08/12/2023,26.75
07/12/2023,26.45
06/12/2023,27.25
05/12/2023,26.5
04/12/2023,26.55
01/12/2023,25.1
30/11/2023,24.7
29/11/2023,25.05
28/11/2023,24.5
27/11/2023,24.15
24/11/2023,25.0
23/11/2023,24.75
22/11/2023,26.6
21/11/2023,25.95
20/11/2023,26.0
17/11/2023,25.6
16/11/2023,26.1
15/11/2023,24.85
14/11/2023,24.75
13/11/2023,25.0
10/11/2023,24.4
09/11/2023,24.5
08/11/2023,23.9
07/11/2023,22.35
06/11/2023,22.8
03/11/2023,22.3
02/11/2023,22.0
01/11/2023,20.6
31/10/2023,20.2
30/10/2023,20.25
27/10/2023,21.15
26/10/2023,19.8
25/10/2023,21.0
24/10/2023,21.3
23/10/2023,20.05
20/10/2023,20.35
19/10/2023,19.05
18/10/2023,20.35
17/10/2023,21.85
16/10/2023,23.45
13/10/2023,23.7
12/10/2023,23.8
11/10/2023,23.4
10/10/2023,22.95
09/10/2023,23.15
06/10/2023,22.3
05/10/2023,21.8
04/10/2023,23.4
03/10/2023,23.35
02/10/2023,25.1
29/09/2023,25.1
28/09/2023,24.5
27/09/2023,25.5
26/09/2023,24.5
25/09/2023,23.85
22/09/2023,25.6
21/09/2023,27.5
20/09/2023,28.3
19/09/2023,27.4
18/09/2023,26.8
15/09/2023,27.2
14/09/2023,27.3
13/09/2023,28.4
12/09/2023,28.95
11/09/2023,27.8
08/09/2023,29.4
07/09/2023,29.35
06/09/2023,29.45
05/09/2023,28.95
31/08/2023,28.65
30/08/2023,28.5
29/08/2023,27.7
28/08/2023,27.7
25/08/2023,27.0
24/08/2023,26.9
23/08/2023,25.15
22/08/2023,25.4
21/08/2023,25.4
18/08/2023,25.9
17/08/2023,27.8
16/08/2023,28.5
15/08/2023,27.4
14/08/2023,27.5
11/08/2023,26.5
10/08/2023,25.75
09/08/2023,25.8
08/08/2023,26.2
07/08/2023,26.65
04/08/2023,26.9
03/08/2023,25.6
02/08/2023,25.3
01/08/2023,24.9
31/07/2023,26.0
28/07/2023,25.6
27/07/2023,26.0
26/07/2023,25.45
