Ngay,Symbol,GiaDongCua
29/12/2023,PIT,5.8
28/12/2023,PIT,5.9
27/12/2023,PIT,5.89
26/12/2023,PIT,5.93
25/12/2023,PIT,5.93
22/12/2023,PIT,5.75
21/12/2023,PIT,5.85
20/12/2023,PIT,6.08
19/12/2023,PIT,6.1
18/12/2023,PIT,6.5
15/12/2023,PIT,6.55
14/12/2023,PIT,6.79
13/12/2023,PIT,6.7
12/12/2023,PIT,6.99
11/12/2023,PIT,7.0
08/12/2023,PIT,7.02
07/12/2023,PIT,7.03
06/12/2023,PIT,7.03
05/12/2023,PIT,7.17
04/12/2023,PIT,7.28
01/12/2023,PIT,7.3
30/11/2023,PIT,7.15
29/11/2023,PIT,7.4
28/11/2023,PIT,7.25
27/11/2023,PIT,7.36
24/11/2023,PIT,7.2
23/11/2023,PIT,7.2
22/11/2023,PIT,7.4
21/11/2023,PIT,7.35
20/11/2023,PIT,7.2
17/11/2023,PIT,7.4
16/11/2023,PIT,7.49
15/11/2023,PIT,7.5
14/11/2023,PIT,7.5
13/11/2023,PIT,7.7
10/11/2023,PIT,7.4
09/11/2023,PIT,7.5
08/11/2023,PIT,8.0
07/11/2023,PIT,8.0
06/11/2023,PIT,7.7
03/11/2023,PIT,7.3
02/11/2023,PIT,7.4
01/11/2023,PIT,7.3
31/10/2023,PIT,7.44
30/10/2023,PIT,7.18
27/10/2023,PIT,6.85
26/10/2023,PIT,7.35
25/10/2023,PIT,7.6
24/10/2023,PIT,7.45
23/10/2023,PIT,7.3
20/10/2023,PIT,7.3
19/10/2023,PIT,7.44
18/10/2023,PIT,7.99
17/10/2023,PIT,8.3
16/10/2023,PIT,8.7
13/10/2023,PIT,8.7
12/10/2023,PIT,8.83
11/10/2023,PIT,8.26
10/10/2023,PIT,7.72
09/10/2023,PIT,7.22
06/10/2023,PIT,6.75
05/10/2023,PIT,6.73
04/10/2023,PIT,7.21
03/10/2023,PIT,7.21
02/10/2023,PIT,7.69
29/09/2023,PIT,7.71
28/09/2023,PIT,7.59
27/09/2023,PIT,7.6
26/09/2023,PIT,7.49
25/09/2023,PIT,7.08
22/09/2023,PIT,7.5
21/09/2023,PIT,7.89
20/09/2023,PIT,8.0
19/09/2023,PIT,7.5
18/09/2023,PIT,8.0
15/09/2023,PIT,8.31
14/09/2023,PIT,8.79
13/09/2023,PIT,8.8
12/09/2023,PIT,8.9
11/09/2023,PIT,9.1
08/09/2023,PIT,8.83
07/09/2023,PIT,8.55
06/09/2023,PIT,8.74
05/09/2023,PIT,8.75
31/08/2023,PIT,8.7
30/08/2023,PIT,8.74
29/08/2023,PIT,8.8
28/08/2023,PIT,8.79
25/08/2023,PIT,8.87
24/08/2023,PIT,8.88
23/08/2023,PIT,9.54
22/08/2023,PIT,10.25
21/08/2023,PIT,11.0
18/08/2023,PIT,11.8
17/08/2023,PIT,11.05
16/08/2023,PIT,10.35
15/08/2023,PIT,9.69
14/08/2023,PIT,9.06
11/08/2023,PIT,8.47
10/08/2023,PIT,7.92
09/08/2023,PIT,7.41
08/08/2023,PIT,6.93
07/08/2023,PIT,6.48
04/08/2023,PIT,6.06
03/08/2023,PIT,5.67
02/08/2023,PIT,5.3
01/08/2023,PIT,5.2
31/07/2023,PIT,5.16
28/07/2023,PIT,5.24
27/07/2023,PIT,5.05
26/07/2023,PIT,5.3
25/07/2023,PIT,5.24
24/07/2023,PIT,5.02
21/07/2023,PIT,5.01
20/07/2023,PIT,5.06
19/07/2023,PIT,5.05
18/07/2023,PIT,5.05
17/07/2023,PIT,5.02
14/07/2023,PIT,5.2
13/07/2023,PIT,5.2
12/07/2023,PIT,5.15
11/07/2023,PIT,5.0
10/07/2023,PIT,5.0
07/07/2023,PIT,5.03
06/07/2023,PIT,5.01
05/07/2023,PIT,5.1
04/07/2023,PIT,5.13
03/07/2023,PIT,5.12
30/06/2023,PIT,5.11
29/06/2023,PIT,5.11
28/06/2023,PIT,5.1
27/06/2023,PIT,5.2
26/06/2023,PIT,5.2
23/06/2023,PIT,5.24
22/06/2023,PIT,5.3
21/06/2023,PIT,5.25
20/06/2023,PIT,5.2
19/06/2023,PIT,5.1
16/06/2023,PIT,5.1
15/06/2023,PIT,5.08
14/06/2023,PIT,5.13
13/06/2023,PIT,5.25
12/06/2023,PIT,5.19
09/06/2023,PIT,5.19
08/06/2023,PIT,5.04
07/06/2023,PIT,4.84
06/06/2023,PIT,4.8
05/06/2023,PIT,4.7
02/06/2023,PIT,4.77
01/06/2023,PIT,4.71
31/05/2023,PIT,4.65
30/05/2023,PIT,4.6
29/05/2023,PIT,4.74
26/05/2023,PIT,4.75
25/05/2023,PIT,4.54
24/05/2023,PIT,4.54
23/05/2023,PIT,4.62
22/05/2023,PIT,4.78
19/05/2023,PIT,4.84
18/05/2023,PIT,4.56
17/05/2023,PIT,4.6
16/05/2023,PIT,4.56
15/05/2023,PIT,4.6
12/05/2023,PIT,4.5
11/05/2023,PIT,4.5
10/05/2023,PIT,4.43
09/05/2023,PIT,4.39
08/05/2023,PIT,4.4
05/05/2023,PIT,4.44
04/05/2023,PIT,4.5
28/04/2023,PIT,4.51
27/04/2023,PIT,4.51
26/04/2023,PIT,4.47
25/04/2023,PIT,4.4
24/04/2023,PIT,4.4
21/04/2023,PIT,4.36
20/04/2023,PIT,4.35
19/04/2023,PIT,4.4
18/04/2023,PIT,4.38
17/04/2023,PIT,4.5
14/04/2023,PIT,4.38
13/04/2023,PIT,4.21
12/04/2023,PIT,4.28
11/04/2023,PIT,4.3
10/04/2023,PIT,4.3
07/04/2023,PIT,4.37
06/04/2023,PIT,4.37
05/04/2023,PIT,4.35
04/04/2023,PIT,4.21
03/04/2023,PIT,4.31
31/03/2023,PIT,4.16
30/03/2023,PIT,4.2
29/03/2023,PIT,4.17
28/03/2023,PIT,4.15
27/03/2023,PIT,4.29
24/03/2023,PIT,4.35
23/03/2023,PIT,4.29
22/03/2023,PIT,4.29
21/03/2023,PIT,4.28
20/03/2023,PIT,4.24
17/03/2023,PIT,4.43
16/03/2023,PIT,4.43
15/03/2023,PIT,4.3
14/03/2023,PIT,4.3
13/03/2023,PIT,4.22
10/03/2023,PIT,4.5
09/03/2023,PIT,4.49
08/03/2023,PIT,4.45
07/03/2023,PIT,4.35
06/03/2023,PIT,4.35
03/03/2023,PIT,4.51
02/03/2023,PIT,4.69
01/03/2023,PIT,4.42
28/02/2023,PIT,4.33
27/02/2023,PIT,4.33
24/02/2023,PIT,4.65
23/02/2023,PIT,4.65
22/02/2023,PIT,4.43
21/02/2023,PIT,4.62
20/02/2023,PIT,4.65
17/02/2023,PIT,4.6
16/02/2023,PIT,4.59
15/02/2023,PIT,4.58
14/02/2023,PIT,4.6
13/02/2023,PIT,4.7
10/02/2023,PIT,4.92
09/02/2023,PIT,4.79
08/02/2023,PIT,4.79
